Your Hand,Your Hand Type,Opponent k,Naive Win %,Bayesian Win %,Δ (Bayes − Naive) %,P(Opp Stronger) %,Most Likely Opp Type
Ac Jh Jc Tc W,Three of a Kind,2,78.62,84.24,5.62,15.76,Pair
Ac Jh Jc Tc W,Three of a Kind,3,78.62,88.11,9.50,11.89,Pair
Ac Jh Jc Tc W,Three of a Kind,4,78.62,81.79,3.17,18.21,Pair
Ac Jh Jc Tc W,Three of a Kind,5,78.62,78.62,0.00,21.38,Pair
Ac Jh Jc Td Tc,Two Pair,0,33.52,37.35,3.84,62.57,Pair
Ac Jh Jc Td Tc,Two Pair,1,33.52,40.04,6.53,59.88,Pair
Ac Jh Jc Td Tc,Two Pair,2,33.52,38.41,4.89,61.52,Pair
Ac Jh Jc Td Tc,Two Pair,3,33.52,64.47,30.95,35.51,Pair
Ac Jh Jc Td Tc,Two Pair,4,33.52,59.25,25.74,40.74,Pair
Ac Jh Jc Td Tc,Two Pair,5,33.52,33.52,0.00,66.41,Pair
Ac Jh Jc Td W,Three of a Kind,0,78.62,82.68,4.07,17.32,Pair
Ac Jh Jc Td W,Three of a Kind,1,78.62,84.18,5.56,15.82,Pair
Ac Jh Jc Td W,Three of a Kind,2,78.62,84.26,5.64,15.74,Pair
Ac Jh Jc Td W,Three of a Kind,3,78.62,88.16,9.54,11.84,Pair
Ac Jh Jc Td W,Three of a Kind,4,78.62,81.79,3.17,18.21,Pair
Ac Jh Jc Td W,Three of a Kind,5,78.62,78.62,0.00,21.38,Pair
Ac Jh Jc Th Tc,Two Pair,0,33.52,37.38,3.86,62.54,Pair
Ac Jh Jc Th Tc,Two Pair,1,33.52,40.00,6.48,59.92,Pair
Ac Jh Jc Th Tc,Two Pair,2,33.52,38.37,4.85,61.55,Pair
Ac Jh Jc Th Tc,Two Pair,3,33.52,64.32,30.80,35.66,Pair
Ac Jh Jc Th Tc,Two Pair,4,33.52,59.25,25.74,40.74,Pair
Ac Jh Jc Th Tc,Two Pair,5,33.52,33.52,0.00,66.41,Pair
Ac Jh Jc Th Td,Two Pair,0,33.52,37.35,3.83,62.58,Pair
Ac Jh Jc Th Td,Two Pair,1,33.52,40.05,6.54,59.87,Pair
Ac Jh Jc Th Td,Two Pair,2,33.52,38.42,4.90,61.51,Pair
Ac Jh Jc Th Td,Two Pair,3,33.52,64.51,30.99,35.47,Pair
Ac Jh Jc Th Td,Two Pair,4,33.52,59.25,25.74,40.74,Pair
Ac Jh Jc Th Td,Two Pair,5,33.52,33.52,0.00,66.41,Pair
Ac Jh Jc Th W,Three of a Kind,0,78.62,82.70,4.08,17.30,Pair
Ac Jh Jc Th W,Three of a Kind,1,78.62,84.16,5.54,15.84,Pair
Ac Jh Jc Th W,Three of a Kind,2,78.62,84.24,5.62,15.76,Pair
Ac Jh Jc Th W,Three of a Kind,3,78.62,88.11,9.50,11.89,Pair
Ac Jh Jc Th W,Three of a Kind,4,78.62,81.79,3.17,18.21,Pair
Ac Jh Jc Th W,Three of a Kind,5,78.62,78.62,0.00,21.38,Pair
Ac Jh Jc Ts Tc,Two Pair,0,33.52,37.35,3.84,62.57,Pair
Ac Jh Jc Ts Tc,Two Pair,1,33.52,40.04,6.53,59.88,Pair
Ac Jh Jc Ts Tc,Two Pair,2,33.52,38.41,4.89,61.52,Pair
Ac Jh Jc Ts Tc,Two Pair,3,33.52,64.47,30.95,35.51,Pair
Ac Jh Jc Ts Tc,Two Pair,4,33.52,59.25,25.74,40.74,Pair
Ac Jh Jc Ts Tc,Two Pair,5,33.52,33.52,0.00,66.41,Pair
Ac Jh Jc Ts Td,Two Pair,0,33.52,37.32,3.81,62.60,Pair
Ac Jh Jc Ts Td,Two Pair,1,33.52,40.10,6.58,59.83,Pair
Ac Jh Jc Ts Td,Two Pair,2,33.52,38.45,4.94,61.47,Pair
Ac Jh Jc Ts Td,Two Pair,3,33.52,64.66,31.14,35.32,Pair
Ac Jh Jc Ts Td,Two Pair,4,33.52,59.25,25.74,40.74,Pair
Ac Jh Jc Ts Td,Two Pair,5,33.52,33.52,0.00,66.41,Pair
Ac Jh Jc Ts Th,Two Pair,0,33.52,37.35,3.83,62.58,Pair
Ac Jh Jc Ts Th,Two Pair,1,33.52,40.05,6.54,59.87,Pair
Ac Jh Jc Ts Th,Two Pair,2,33.52,38.42,4.90,61.51,Pair
Ac Jh Jc Ts Th,Two Pair,3,33.52,64.51,30.99,35.47,Pair
Ac Jh Jc Ts Th,Two Pair,4,33.52,59.25,25.74,40.74,Pair
Ac Jh Jc Ts Th,Two Pair,5,33.52,33.52,0.00,66.41,Pair
Ac Jh Jc Ts W,Three of a Kind,0,78.62,82.68,4.07,17.32,Pair
Ac Jh Jc Ts W,Three of a Kind,1,78.62,84.18,5.56,15.82,Pair
Ac Jh Jc Ts W,Three of a Kind,2,78.62,84.26,5.64,15.74,Pair
Ac Jh Jc Ts W,Three of a Kind,3,78.62,88.16,9.54,11.84,Pair
Ac Jh Jc Ts W,Three of a Kind,4,78.62,81.79,3.17,18.21,Pair
Ac Jh Jc Ts W,Three of a Kind,5,78.62,78.62,0.00,21.38,Pair
Ac Jh Jd Jc Tc,Three of a Kind,0,56.52,63.17,6.64,36.83,Pair
Ac Jh Jd Jc Tc,Three of a Kind,1,56.52,64.29,7.76,35.71,Pair
Ac Jh Jd Jc Tc,Three of a Kind,2,56.52,63.22,6.70,36.78,Pair
Ac Jh Jd Jc Tc,Three of a Kind,3,56.52,67.55,11.02,32.45,Pair
Ac Jh Jd Jc Tc,Three of a Kind,4,56.52,60.27,3.75,39.73,Pair
Ac Jh Jd Jc Tc,Three of a Kind,5,56.52,56.52,0.00,43.48,Pair
Ac Jh Jd Jc Td,Three of a Kind,0,56.52,63.15,6.63,36.85,Pair
Ac Jh Jd Jc Td,Three of a Kind,1,56.52,64.30,7.78,35.70,Pair
Ac Jh Jd Jc Td,Three of a Kind,2,56.52,63.24,6.71,36.76,Pair
Ac Jh Jd Jc Td,Three of a Kind,3,56.52,67.59,11.06,32.41,Pair
Ac Jh Jd Jc Td,Three of a Kind,4,56.52,60.27,3.75,39.73,Pair
Ac Jh Jd Jc Td,Three of a Kind,5,56.52,56.52,0.00,43.48,Pair
